testName,thisNode,thisID,thatID,timeDelta,message
complete,node4,3,2,7.115000,message sent 9
complete,node4,3,2,7.119000,message sent 10
complete,node4,3,2,7.123000,message sent 11
complete,node3,1,3,7.096000,message received 11
complete,node3,2,5,7.072000,message sent 7
complete,node3,2,5,7.077000,message sent 8
complete,node3,2,5,7.082000,message sent 9
complete,node3,2,5,7.087000,message sent 10
complete,node3,2,5,7.092000,message sent 11
complete,node3,2,2,7.098000,message received 0
complete,node3,2,2,7.104000,message received 1
complete,node3,2,2,7.108000,message received 2
complete,node3,2,2,7.113000,message received 3
complete,node3,2,2,7.118000,message received 4
complete,node3,2,2,7.122000,message received 5
complete,node3,2,2,7.126000,message received 6
complete,node3,2,2,7.131000,message received 7
complete,node3,2,2,7.136000,message received 8
complete,node3,2,2,7.140000,message received 9
complete,node3,2,2,7.145000,message received 10
complete,node3,2,2,7.150000,message received 11
complete,node3,2,3,7.161000,message received 0
complete,node3,2,3,7.166000,message received 1
complete,node3,2,3,7.171000,message received 2
complete,node3,2,3,7.176000,message received 3
complete,node3,2,3,7.180000,message received 4
complete,node3,2,3,7.184000,message received 5
complete,node3,2,3,7.189000,message received 6
complete,node3,2,3,7.193000,message received 7
complete,node3,2,3,7.198000,message received 8
complete,node3,2,3,7.203000,message received 9
complete,node3,2,3,7.207000,message received 10
complete,node3,2,3,7.212000,message received 11
complete,node4,3,3,8.522000,message sent 0
complete,node4,3,3,8.532000,message sent 1
complete,node4,3,3,8.536000,message sent 2
complete,node4,3,3,8.540000,message sent 3
complete,node4,3,3,8.544000,message sent 4
complete,node4,3,3,8.547000,message sent 5
complete,node4,3,3,8.551000,message sent 6
complete,node4,3,3,8.554000,message sent 7
complete,node4,3,3,8.558000,message sent 8
complete,node4,3,3,8.562000,message sent 9
complete,node4,3,3,8.568000,message sent 10
complete,node4,3,3,8.572000,message sent 11
complete,node4,3,4,8.577000,message sent 0
complete,node4,3,4,8.581000,message sent 1
complete,node4,3,4,8.584000,message sent 2
complete,node4,3,4,8.588000,message sent 3
complete,node4,4,3,8.584000,message received 0
complete,node4,4,3,8.590000,message received 1
complete,node4,4,3,8.592000,message received 2
complete,node4,4,3,8.596000,message received 3
complete,node4,4,3,8.599000,message received 4
complete,node4,3,4,8.592000,message sent 4
complete,node4,3,4,8.596000,message sent 5
complete,node4,3,4,8.599000,message sent 6
complete,node4,3,4,8.603000,message sent 7
complete,node3,0,4,8.611000,message received 0
complete,node3,0,4,8.622000,message received 1
complete,node3,0,4,8.627000,message received 2
complete,node3,0,4,8.631000,message received 3
complete,node3,0,4,8.638000,message received 4
complete,node4,4,3,8.603000,message received 5
complete,node4,4,3,8.607000,message received 6
complete,node4,4,3,8.611000,message received 7
complete,node4,4,3,8.614000,message received 8
complete,node4,3,4,8.607000,message sent 8
complete,node4,3,4,8.611000,message sent 9
complete,node4,3,4,8.615000,message sent 10
complete,node4,3,4,8.619000,message sent 11
complete,node4,3,5,8.623000,message sent 0
complete,node4,3,5,8.629000,message sent 1
complete,node4,4,3,8.618000,message received 9
complete,node4,4,3,8.622000,message received 10
complete,node4,4,3,8.626000,message received 11
complete,node4,4,0,8.635000,message sent 0
complete,node4,4,0,8.639000,message sent 1
complete,node4,4,0,8.642000,message sent 2
complete,node3,0,4,8.643000,message received 5
complete,node3,0,4,8.648000,message received 6
complete,node4,5,3,8.624000,message received 0
complete,node4,5,3,8.631000,message received 1
complete,node4,5,3,8.635000,message received 2
complete,node3,1,4,8.682000,message received 0
complete,node3,1,4,8.687000,message received 1
complete,node4,3,5,8.633000,message sent 2
complete,node4,3,5,8.636000,message sent 3
complete,node4,3,5,8.640000,message sent 4
complete,node4,3,5,8.643000,message sent 5
complete,node4,3,5,8.647000,message sent 6
complete,node3,0,4,8.652000,message received 7
complete,node3,0,4,8.657000,message received 8
complete,node3,0,4,8.661000,message received 9
complete,node3,0,4,8.666000,message received 10
complete,node3,0,4,8.671000,message received 11
complete,node4,4,0,8.644000,message sent 3
complete,node4,4,0,8.647000,message sent 4
complete,node4,4,0,8.649000,message sent 5
complete,node4,4,0,8.652000,message sent 6
complete,node4,4,0,8.654000,message sent 7
complete,node4,4,0,8.656000,message sent 8
complete,node4,4,0,8.659000,message sent 9
complete,node4,4,0,8.661000,message sent 10
complete,node4,4,0,8.664000,message sent 11
complete,node3,1,4,8.703000,message received 2
complete,node3,1,4,8.707000,message received 3
complete,node3,1,4,8.709000,message received 4
complete,node3,1,4,8.711000,message received 5
complete,node4,5,3,8.639000,message received 3
complete,node4,5,3,8.643000,message received 4
complete,node4,5,3,8.647000,message received 5
complete,node4,5,3,8.651000,message received 6
complete,node4,5,3,8.654000,message received 7
complete,node4,5,3,8.658000,message received 8
complete,node3,1,4,8.728000,message received 6
complete,node3,1,4,8.734000,message received 7
complete,node4,3,5,8.650000,message sent 7
complete,node4,3,5,8.654000,message sent 8
complete,node4,3,5,8.658000,message sent 9
complete,node4,3,5,8.661000,message sent 10
complete,node4,3,5,8.665000,message sent 11
complete,node4,3,3,8.669000,message received 0
complete,node3,1,4,8.742000,message received 8
complete,node4,4,1,8.666000,message sent 0
complete,node4,4,1,8.669000,message sent 1
complete,node4,4,1,8.675000,message sent 2
complete,node4,4,1,8.678000,message sent 3
complete,node4,4,1,8.680000,message sent 4
complete,node4,4,1,8.690000,message sent 5
complete,node3,1,4,8.747000,message received 9
complete,node3,1,4,8.752000,message received 10
complete,node3,1,4,8.756000,message received 11
complete,node4,5,3,8.662000,message received 9
complete,node4,5,3,8.666000,message received 10
complete,node4,5,3,8.670000,message received 11
complete,node3,2,4,8.734000,message received 0
complete,node4,3,3,8.674000,message received 1
complete,node4,3,3,8.678000,message received 2
complete,node4,3,3,8.681000,message received 3
complete,node4,3,3,8.685000,message received 4
complete,node4,3,3,8.688000,message received 5
complete,node4,3,3,8.691000,message received 6
complete,node4,3,3,8.695000,message received 7
complete,node4,3,3,8.700000,message received 8
complete,node4,3,3,8.704000,message received 9
complete,node4,3,3,8.707000,message received 10
complete,node4,3,3,8.711000,message received 11
complete,node3,2,4,8.742000,message received 1
complete,node3,2,4,8.748000,message received 2
complete,node4,4,1,8.713000,message sent 6
complete,node4,4,1,8.719000,message sent 7
complete,node3,2,4,8.754000,message received 3
complete,node3,2,4,8.760000,message received 4
complete,node4,4,1,8.727000,message sent 8
complete,node4,4,1,8.732000,message sent 9
complete,node4,4,1,8.736000,message sent 10
complete,node3,2,4,8.765000,message received 5
complete,node4,4,1,8.741000,message sent 11
complete,node4,4,2,8.745000,message sent 0
complete,node4,4,2,8.748000,message sent 1
complete,node3,2,4,8.786000,message received 6
complete,node3,2,4,8.793000,message received 7
complete,node4,4,2,8.758000,message sent 2
complete,node4,4,2,8.763000,message sent 3
complete,node4,4,2,8.767000,message sent 4
complete,node3,2,4,8.797000,message received 8
complete,node3,2,4,8.803000,message received 9
complete,node3,2,4,8.808000,message received 10
complete,node4,4,2,8.793000,message sent 5
complete,node4,4,2,8.798000,message sent 6
complete,node4,4,2,8.801000,message sent 7
complete,node3,2,4,8.813000,message received 11
complete,node4,4,2,8.806000,message sent 8
complete,node4,4,2,8.809000,message sent 9
complete,node4,4,2,8.812000,message sent 10
complete,node4,4,2,8.815000,message sent 11
complete,node4,4,3,8.817000,message sent 0
complete,node4,3,4,8.811000,message received 0
complete,node4,3,4,8.817000,message received 1
complete,node4,3,4,8.820000,message received 2
complete,node4,4,3,8.820000,message sent 1
complete,node4,4,3,8.823000,message sent 2
complete,node4,4,3,8.825000,message sent 3
complete,node4,4,3,8.827000,message sent 4
complete,node4,4,3,8.829000,message sent 5
complete,node4,4,3,8.831000,message sent 6
complete,node4,4,3,8.833000,message sent 7
complete,node4,4,3,8.835000,message sent 8
complete,node4,4,3,8.837000,message sent 9
complete,node4,3,4,8.826000,message received 3
complete,node4,3,4,8.830000,message received 4
complete,node4,3,4,8.834000,message received 5
complete,node4,3,4,8.837000,message received 6
complete,node4,3,4,8.841000,message received 7
complete,node4,3,4,8.844000,message received 8
complete,node4,3,4,8.848000,message received 9
complete,node4,3,4,8.852000,message received 10
complete,node4,4,3,8.840000,message sent 10
complete,node4,4,3,8.842000,message sent 11
complete,node4,3,4,8.856000,message received 11
complete,node4,4,4,10.593000,message sent 0
complete,node4,4,4,10.604000,message sent 1
complete,node4,4,4,10.607000,message sent 2
complete,node4,4,4,10.609000,message sent 3
complete,node4,4,4,10.611000,message sent 4
complete,node4,4,4,10.613000,message sent 5
