testName,thisNode,thisID,thatID,timeDelta,message
ring,node4,5,6,15.806000,message sent 8
ring,node4,5,6,15.811000,message sent 9
ring,node3,2,3,15.292000,message sent 5
ring,node3,2,3,15.298000,message sent 6
ring,node3,2,3,15.303000,message sent 7
ring,node4,3,2,15.942000,message received 0
ring,node3,2,3,15.308000,message sent 8
ring,node3,2,3,15.314000,message sent 9
ring,node4,3,2,15.949000,message received 1
ring,node4,3,2,15.958000,message received 2
ring,node3,0,5,15.402000,message sent 0
ring,node4,3,2,15.963000,message received 3
ring,node4,3,2,15.967000,message received 4
ring,node4,3,2,15.972000,message received 5
ring,node3,0,5,15.410000,message sent 1
ring,node3,0,5,15.415000,message sent 2
ring,node4,3,2,15.976000,message received 6
ring,node4,3,2,15.981000,message received 7
ring,node3,0,5,15.421000,message sent 3
ring,node3,0,5,15.426000,message sent 4
ring,node3,0,5,15.432000,message sent 5
ring,node4,3,2,15.986000,message received 8
ring,node4,3,2,15.991000,message received 9
ring,node3,0,5,15.436000,message sent 6
ring,node3,0,5,15.442000,message sent 7
ring,node4,3,4,15.996000,message sent 0
ring,node4,3,4,16.000999,message sent 1
ring,node3,0,5,15.447000,message sent 8
ring,node3,0,5,15.453000,message sent 9
ring,node4,4,3,16.000999,message received 0
ring,node4,4,3,16.006001,message received 1
ring,node4,4,3,16.010000,message received 2
ring,node4,4,3,16.016001,message received 3
ring,node3,0,1,15.458000,message sent 0
ring,node3,0,1,15.463000,message sent 1
ring,node3,0,1,15.468000,message sent 2
ring,node4,3,4,16.004999,message sent 2
ring,node4,3,4,16.010000,message sent 3
ring,node4,3,4,16.014999,message sent 4
ring,node4,3,4,16.018999,message sent 5
ring,node3,1,0,15.481000,message received 0
ring,node3,1,0,15.486000,message received 1
ring,node3,1,0,15.491000,message received 2
ring,node3,1,0,15.496000,message received 3
ring,node4,4,3,16.020000,message received 4
ring,node4,4,3,16.025000,message received 5
ring,node4,4,3,16.028999,message received 6
ring,node3,0,1,15.473000,message sent 3
ring,node3,0,1,15.478000,message sent 4
ring,node3,0,1,15.483000,message sent 5
ring,node4,3,4,16.024000,message sent 6
ring,node4,3,4,16.028999,message sent 7
ring,node4,3,4,16.033001,message sent 8
ring,node4,3,4,16.038000,message sent 9
ring,node3,1,0,15.502000,message received 4
ring,node3,1,0,15.506000,message received 5
ring,node3,1,0,15.512000,message received 6
ring,node4,4,3,16.034000,message received 7
ring,node4,4,3,16.039000,message received 8
ring,node4,4,3,16.042999,message received 9
ring,node4,4,5,16.046000,message sent 0
ring,node4,4,5,16.048000,message sent 1
ring,node3,0,1,15.489000,message sent 6
ring,node3,0,1,15.494000,message sent 7
ring,node3,0,1,15.498000,message sent 8
ring,node3,0,1,15.503000,message sent 9
ring,node4,4,5,16.051001,message sent 2
ring,node4,4,5,16.052999,message sent 3
ring,node4,4,5,16.055000,message sent 4
ring,node4,4,5,16.058001,message sent 5
ring,node4,4,5,16.059999,message sent 6
ring,node3,1,0,15.517000,message received 7
ring,node3,1,0,15.522000,message received 8
ring,node3,1,0,15.527000,message received 9
ring,node3,1,2,15.531000,message sent 0
ring,node4,5,4,16.042000,message received 0
ring,node4,5,4,16.048000,message received 1
ring,node4,5,4,16.052000,message received 2
ring,node4,5,4,16.056999,message received 3
ring,node3,1,2,15.534000,message sent 1
ring,node3,1,2,15.539000,message sent 2
ring,node3,1,2,15.542000,message sent 3
ring,node3,1,2,15.545000,message sent 4
ring,node3,1,2,15.549000,message sent 5
ring,node4,4,5,16.062000,message sent 7
ring,node4,4,5,16.066000,message sent 8
ring,node4,4,5,16.068001,message sent 9
ring,node3,2,1,15.521000,message received 0
ring,node3,2,1,15.527000,message received 1
ring,node3,2,1,15.533000,message received 2
ring,node3,2,1,15.541000,message received 3
ring,node4,5,4,16.061001,message received 4
ring,node4,5,4,16.066000,message received 5
ring,node4,5,4,16.070000,message received 6
ring,node4,5,4,16.075001,message received 7
ring,node3,1,2,15.552000,message sent 6
ring,node3,1,2,15.556000,message sent 7
ring,node3,1,2,15.559000,message sent 8
ring,node3,1,2,15.562000,message sent 9
ring,node4,5,4,16.079000,message received 8
ring,node4,5,4,16.084000,message received 9
ring,node4,5,6,16.089001,message sent 0
ring,node3,2,1,15.547000,message received 4
ring,node3,2,1,15.552000,message received 5
ring,node3,2,1,15.558000,message received 6
ring,node4,5,6,16.093000,message sent 1
ring,node4,5,6,16.098000,message sent 2
ring,node3,2,1,15.563000,message received 7
ring,node3,2,1,15.569000,message received 8
ring,node4,5,6,16.101999,message sent 3
ring,node4,5,6,16.107000,message sent 4
ring,node4,5,6,16.111000,message sent 5
ring,node3,2,1,15.574000,message received 9
ring,node3,2,3,15.580000,message sent 0
ring,node3,2,3,15.586000,message sent 1
ring,node4,5,6,16.115999,message sent 6
ring,node4,5,6,16.121000,message sent 7
ring,node4,5,6,16.125000,message sent 8
ring,node3,2,3,15.592000,message sent 2
ring,node3,2,3,15.597000,message sent 3
ring,node4,5,6,16.129999,message sent 9
ring,node3,2,3,15.603000,message sent 4
ring,node3,2,3,15.608000,message sent 5
ring,node3,2,3,15.614000,message sent 6
ring,node4,3,2,16.254999,message received 0
ring,node3,2,3,15.619000,message sent 7
ring,node3,2,3,15.625000,message sent 8
ring,node4,3,2,16.261000,message received 1
ring,node4,3,2,16.267000,message received 2
ring,node3,2,3,15.630000,message sent 9
ring,node4,3,2,16.271999,message received 3
ring,node4,3,2,16.277000,message received 4
ring,node3,0,5,15.721000,message sent 0
ring,node4,3,2,16.285999,message received 5
ring,node4,3,2,16.292000,message received 6
ring,node3,0,5,15.729000,message sent 1
ring,node3,0,5,15.735000,message sent 2
ring,node4,3,2,16.297001,message received 7
ring,node4,3,2,16.302999,message received 8
ring,node3,0,5,15.740000,message sent 3
ring,node3,0,5,15.746000,message sent 4
ring,node3,0,5,15.750000,message sent 5
ring,node4,3,2,16.308001,message received 9
ring,node4,3,4,16.313000,message sent 0
ring,node3,0,5,15.756000,message sent 6
ring,node3,0,5,15.761000,message sent 7
ring,node4,4,3,16.318001,message received 0
ring,node4,4,3,16.323000,message received 1
ring,node3,0,5,15.766000,message sent 8
ring,node3,0,5,15.772000,message sent 9
ring,node4,3,4,16.318001,message sent 1
ring,node4,3,4,16.322001,message sent 2
ring,node4,3,4,16.327000,message sent 3
ring,node4,3,4,16.332001,message sent 4
ring,node3,0,1,15.777000,message sent 0
ring,node3,0,1,15.782000,message sent 1
ring,node3,0,1,15.787000,message sent 2
ring,node4,4,3,16.327999,message received 2
ring,node4,4,3,16.333000,message received 3
ring,node4,4,3,16.337000,message received 4
ring,node4,4,3,16.341999,message received 5
ring,node3,1,0,15.800000,message received 0
ring,node3,1,0,15.806000,message received 1
ring,node3,1,0,15.810000,message received 2
